NN;Nom;Prenom;Annee;Trimestre;BrutTrimestriel
80072964619;Garcia;Fatima;2026;1;889.84
81070964163;Dufour;Fatima;2026;1;677.48
98051652719;Gaillard;Charlotte;2026;1;1602.32
78073161149;Simon;Maxime;2026;1;3783.72
1072835667;Garnier;Louis;2026;1;4737.81
93100353936;Henry;Thomas;2026;1;3829.11
81071155886;Fontaine;Charlotte;2026;1;6452.93
93021077717;Fabre;Adam;2026;1;1691.47
91000288197;Michel;Quentin;2026;1;938.91
2061624963;Dumas;Leïla;2026;1;4907.57
89110259530;Lucas;Damien;2026;1;3690.84
93000304572;Lucas;Khalid;2026;1;1442.39
89020555019;Renaud;Sébastien;2026;1;3573.12
86093063543;Roy;Youssef;2026;1;6385.84
4090532589;Rey;Sébastien;2026;1;1258.66
67031571371;Philippe;Fatima;2026;1;2067.63
82032259897;Mercier;Sébastien;2026;1;3022.71
5073128139;Dubois;Adam;2026;1;810.16
6122527686;Fontaine;Laura;2026;1;4541.80
92092061405;Boyer;Thomas;2026;1;3708.01
94123158855;Benoit;Mehdi;2026;1;4229.53
85112352268;Marie;Vincent;2026;1;5352.90
97052087020;Brunet;Céline;2026;1;3150.17
94092870606;Gauthier;Quentin;2026;1;7961.56
93050259275;Lambert;Julien;2026;1;2356.87
91123177301;Colin;Youssef;2026;1;4087.52
94071053920;Barbier;Cédric;2026;1;1569.00
5041258392;Brunet;Manon;2026;1;3647.14
40463182;Schmitt;Inès;2026;1;2241.61
94011073573;Schmitt;Aïcha;2026;1;1392.15
88042453935;Colin;Adam;2026;1;473.71
84011088997;Meunier;Karim;2026;1;396.46
251536;Fontaine;Benjamin;2026;1;3111.27
94022054369;Brunet;Émilie;2026;1;8961.95
94021574121;Leclerc;Pauline;2026;1;1701.91
72082154406;Caron;Nicolas;2026;1;822.51
50353917;Caron;Inès;2026;1;6347.89
87060179376;Martin;Hugo;2026;1;476.59
97080577108;Marchand;Céline;2026;1;3628.54
93110572390;Bourgeois;Khalid;2026;1;3146.46
5010550964;François;Bilal;2026;1;2017.68
81122650911;Boyer;Khalid;2026;1;1598.28
97042656145;Dumas;Leïla;2026;1;6200.32
87050169372;Garcia;Antoine;2026;1;1259.45
95062469243;Colin;Camille;2026;1;4116.62
72000210289;Laurent;Cédric;2026;1;5892.10
92072478786;Fabre;Samira;2026;1;3335.72
89111950201;Nguyen;Nicolas;2026;1;4610.68
88030377138;Michel;Sarah;2026;1;234.73
74040181360;Renaud;Grégory;2026;1;593.66
90092869332;Dumas;Cédric;2026;1;4505.75
85102055719;Payet;Charlotte;2026;1;8070.06
94062369252;Barbier;Mehdi;2026;1;1975.58
91122372694;Muller;Damien;2026;1;5444.02
82031357797;Simon;Camille;2026;1;527.54
88012167862;Vincent;Leïla;2026;1;8907.00
85121671196;Guérin;Samira;2026;1;446.62
6093038302;Blanc;Leïla;2026;1;1039.20
91031746683;Perrin;Julien;2026;1;1413.04
5000081102;Dufour;Nora;2026;1;2324.08
91112570350;Gautier;Rachid;2026;1;9440.41
82031906739;Giraud;Sébastien;2026;1;3820.21
4000076131;Fontaine;Sarah;2026;1;2681.79
95121272425;Clément;Charlotte;2026;1;2151.03
90070759864;Simon;Nadia;2026;1;650.61
86071860432;Olivier;Khalid;2026;1;1320.83
88061361512;Noël;Camille;2026;1;2503.52
97000072254;Masson;Khalid;2026;1;9228.80
94000343393;Petit;Camille;2026;1;5910.93
3080231960;Rivière;Thomas;2026;1;3791.70
89061978274;Martin;Salima;2026;1;2434.10
86042743309;Marie;Thomas;2026;1;8827.55
98122375617;Roussel;Nadia;2026;1;3020.46
81122860648;Lefebvre;Anissa;2026;1;5743.95
