NN;Nom;Prenom;Annee;Trimestre;BrutTrimestriel
80072964619;Garcia;Fatima;2025;1;2657.75
81070964163;Dufour;Fatima;2025;1;636.29
78073161149;Simon;Maxime;2025;1;4008.68
1072835667;Garnier;Louis;2025;1;1577.44
93100353936;Henry;Thomas;2025;1;1262.59
81071155886;Fontaine;Charlotte;2025;1;2085.09
93021077717;Fabre;Adam;2025;1;1579.38
89110259530;Lucas;Damien;2025;1;3795.38
93000304572;Lucas;Khalid;2025;1;1544.55
89020555019;Renaud;Sébastien;2025;1;1270.75
86093063543;Roy;Youssef;2025;1;3222.67
67031571371;Philippe;Fatima;2025;1;2118.47
6122527686;Fontaine;Laura;2025;1;4831.82
94123158855;Benoit;Mehdi;2025;1;4351.28
85112352268;Marie;Vincent;2025;1;5568.05
97052087020;Brunet;Céline;2025;1;1072.48
94092870606;Gauthier;Quentin;2025;1;4623.37
93050259275;Lambert;Julien;2025;1;3303.24
94071053920;Barbier;Cédric;2025;1;1597.48
5041258392;Brunet;Manon;2025;1;3587.02
40463182;Schmitt;Inès;2025;1;2070.03
94011073573;Schmitt;Aïcha;2025;1;1257.29
88042453935;Colin;Adam;2025;1;421.14
84011088997;Meunier;Karim;2025;1;197.03
94021574121;Leclerc;Pauline;2025;1;1725.73
72082154406;Caron;Nicolas;2025;1;453.97
97080577108;Marchand;Céline;2025;1;3482.94
93110572390;Bourgeois;Khalid;2025;1;2853.83
5010550964;François;Bilal;2025;1;1972.89
81122650911;Boyer;Khalid;2025;1;1182.73
97042656145;Dumas;Leïla;2025;1;12741.53
87050169372;Garcia;Antoine;2025;1;1188.38
95062469243;Colin;Camille;2025;1;2565.95
72000210289;Laurent;Cédric;2025;1;5607.14
92072478786;Fabre;Samira;2025;1;3543.80
89111950201;Nguyen;Nicolas;2025;1;4370.97
74040181360;Renaud;Grégory;2025;1;857.89
90092869332;Dumas;Cédric;2025;1;4246.05
94062369252;Barbier;Mehdi;2025;1;2180.69
91122372694;Muller;Damien;2025;1;1621.84
88012167862;Vincent;Leïla;2025;1;5656.75
85121671196;Guérin;Samira;2025;1;137.91
6093038302;Blanc;Leïla;2025;1;1083.76
91031746683;Perrin;Julien;2025;1;1462.10
5000081102;Dufour;Nora;2025;1;2369.31
91112570350;Gautier;Rachid;2025;1;10764.33
82031906739;Giraud;Sébastien;2025;1;2413.13
95121272425;Clément;Charlotte;2025;1;2083.58
86071860432;Olivier;Khalid;2025;1;3882.64
88061361512;Noël;Camille;2025;1;2484.23
3080231960;Rivière;Thomas;2025;1;4203.68
98122375617;Roussel;Nadia;2025;1;3135.99
81122860648;Lefebvre;Anissa;2025;1;5760.60
2080249953;Roche;Vincent;2025;1;507.89
87000239514;Roger;Valérie;2025;1;1656.01
92082572924;Fabre;Sophie;2025;1;5840.36
82080165130;Renard;Khalid;2025;1;6179.20
87101069331;Legrand;Marine;2025;1;1721.56
6013167512;Vidal;Sébastien;2025;1;2984.01
93010765132;Brunet;Delphine;2025;1;1491.11
95051279995;Henry;Laura;2025;1;868.67
90071722837;Blanchard;Émilie;2025;1;4645.10
89040772688;Boyer;Benjamin;2025;1;4645.92
2000222379;Masson;Sophie;2025;1;1287.07
79121557737;Roche;Ibrahim;2025;1;6382.69
92091882845;Lambert;Quentin;2025;1;6641.78
98020272922;Mathieu;Fatima;2025;1;10615.33
76022858786;Brun;Nicolas;2025;1;4692.25
6061354142;Durand;Nicolas;2025;1;1529.61
83052666443;Mathieu;Aurélie;2025;1;7267.11
81000087055;Gautier;Aurélie;2025;1;2306.90
97030165713;Lemoine;Sébastien;2025;1;1288.89
84081254146;Moreau;Amélie;2025;1;2860.65
87091570853;Lambert;Sébastien;2025;1;3593.84
89071279584;Michel;Antoine;2025;1;8654.25
90072670170;Michel;Cédric;2025;1;8241.67
92040670211;Fontaine;Yasmina;2025;1;7602.94
72122450877;Meunier;Louis;2025;1;2227.05
84100178351;Denis;Vincent;2025;1;4139.36
2031729068;Schmitt;Antoine;2025;1;5259.96
88061078727;Brun;Benjamin;2025;1;4319.56
4032251724;Blanc;Grégory;2025;1;3399.23
91113054558;Michel;Claire;2025;1;13683.00
98050165748;Simon;Romain;2025;1;5074.66
81010275124;Picard;Émilie;2025;1;10319.35
79090949485;Lemaire;Chloé;2025;1;1893.07
93050787629;Lemoine;Nora;2025;1;1614.92
72122169082;Henry;Anissa;2025;1;7684.14
1062755189;Rey;Benjamin;2025;1;1676.70
88021357227;Blanchard;Ibrahim;2025;1;10498.29
84041760892;Clément;Vincent;2025;1;4775.31
3000284560;Garcia;Manon;2025;1;3316.89
92120648887;Blanchard;Adam;2025;1;5966.18
95120252836;Lemoine;Mehdi;2025;1;2871.67
6103154115;Lefebvre;Samira;2025;1;5280.91
3010528651;Brun;Émilie;2025;1;837.14
90011074774;Dumont;Delphine;2025;1;5275.82
93091394007;Dumont;Maxime;2025;1;3031.18
88102351633;Moreau;Chloé;2025;1;270.04
87010571695;Giraud;Thomas;2025;1;5176.62
3052647536;Dufour;Nicolas;2025;1;6383.36
99061578117;Clément;Émilie;2025;1;7690.14
80010958061;François;Pierre;2025;1;6493.95
79091467644;Barbier;Amélie;2025;1;3120.68
68071259042;Clément;Émilie;2025;1;2358.80
93092486840;Moreau;Émilie;2025;1;5169.71
99050848135;Lemaire;Mathieu;2025;1;694.60
88010355447;Boyer;Grégory;2025;1;5472.35
99091264273;Leroy;Vincent;2025;1;8297.16
82633834;Roussel;Aïcha;2025;1;2704.71
4041544027;Lambert;Pauline;2025;1;1401.55
80000131475;Marie;Romain;2025;1;4776.13
93032858168;Bernard;Laura;2025;1;3787.00
98111373837;Rivière;Samira;2025;1;1635.60
93061349345;Lemoine;Nora;2025;1;8911.51
89111367013;Masson;Romain;2025;1;3295.82
96052380769;Meunier;Rachid;2025;1;7040.15
94120261525;Dumas;Nassim;2025;1;8865.28
92071524921;Moreau;Benjamin;2025;1;3854.54
21749310;Mercier;Bilal;2025;1;6024.40
95041369169;Dumont;Élise;2025;1;4044.91
83000215573;Lucas;Sophie;2025;1;2664.28
3021448772;Arnaud;Khalid;2025;1;5228.99
88041584992;Marchand;Benjamin;2025;1;1891.33
88111567623;Vincent;Camille;2025;1;658.20
97052980212;Michel;Grégory;2025;1;1665.81
88000243988;Dumont;Camille;2025;1;1192.98
78090564137;Barbier;Ibrahim;2025;1;1726.50
68091663387;Boyer;Sébastien;2025;1;1013.18
97121272962;Lefebvre;Leïla;2025;1;14718.76
91030881504;Leroy;Émilie;2025;1;12591.45
97040559658;Perrin;Nora;2025;1;7062.65
5000085357;Gautier;Hugo;2025;1;3683.67
88092973515;Arnaud;Youssef;2025;1;7755.89
84082762297;Perrin;Sarah;2025;1;2533.92
92020860930;Picard;Sébastien;2025;1;3280.01
91081562321;Lemaire;François;2025;1;1132.79
94122973565;Philippe;Nassim;2025;1;3794.54
93032055345;Martin;Nicolas;2025;1;3407.85
91061479856;Petit;Nora;2025;1;7138.52
76111854209;Gérard;Romain;2025;1;1190.51
97032172920;Lambert;Céline;2025;1;2524.35
74121664033;Vidal;Nassim;2025;1;2796.61
89100270411;Payet;Sophie;2025;1;5389.53
96102746931;Nguyen;Nadia;2025;1;1228.09
1081931792;Fontaine;Maxime;2025;1;1062.49
94013061677;Brun;Amélie;2025;1;1565.25
84102696985;Martin;Élise;2025;1;8753.89
96040170746;Joly;Rachid;2025;1;3002.43
83031576366;Clément;Delphine;2025;1;1894.44
92050871542;Rey;François;2025;1;14209.24
88101765673;Gauthier;Nassim;2025;1;2010.76
96100181973;Rousseau;Grégory;2025;1;1292.09
85092667802;Denis;François;2025;1;9895.79
62351332;Legrand;Charlotte;2025;1;8494.36
88031352284;Moreau;Anissa;2025;1;8577.23
79081848808;Gaillard;Louis;2025;1;4158.23
85070368490;Colin;Mehdi;2025;1;5220.38
83052570037;Denis;Yasmina;2025;1;6305.92
81112068508;Leroy;Inès;2025;1;5209.08
87000245353;Legrand;Inès;2025;1;6326.86
80042060815;Muller;Nora;2025;1;7258.81
89123058580;Lacroix;Élise;2025;1;3560.77
4122753318;Legrand;Valérie;2025;1;7684.05
96051584973;Muller;Anissa;2025;1;2590.98
87021455293;Leroy;Leïla;2025;1;11520.90
90090474026;Gautier;Julien;2025;1;1351.96
1122644771;Clément;Thomas;2025;1;2973.49
7071758701;Aubert;Nicolas;2025;1;1387.32
88012073337;Guérin;Julien;2025;1;1306.41
82051771052;Guérin;Delphine;2025;1;10048.51
97111648780;Marie;Louis;2025;1;11516.22
92051540644;Schmitt;Maxime;2025;1;9133.94
4021749988;Colin;Justine;2025;1;741.30
91110154060;Lambert;Nicolas;2025;1;5845.73
7011057584;Lemoine;Nassim;2025;1;1631.42
91120675095;Picard;Leïla;2025;1;3315.04
254902;Dumas;Benjamin;2025;1;1132.52
99081778762;Blanchard;Cédric;2025;1;3638.95
86000227120;Petit;Sophie;2025;1;3628.28
4020239857;Leroy;Sarah;2025;1;12343.25
92022770444;Gérard;Sébastien;2025;1;4135.75
97032779367;Boyer;Anissa;2025;1;380.17
93101062432;Caron;Julien;2025;1;1941.41
97070372708;Pierre;Amélie;2025;1;10017.58
60011156284;Chevalier;Chloé;2025;1;2910.67
95061064822;Gérard;Samira;2025;1;1372.68
